{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': True,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 2,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01 for GatV1_K2_s and Cora:

Epoch 01| Loss: 1.9627| Acc: 0.1786| Train Time: 0.3370s
Train: 0.8214| Val: 0.6700| Test: 0.6770| Eval Time: 0.2080s
Epoch 02| Loss: 1.4616| Acc: 0.6929| Train Time: 0.2240s
Train: 0.9429| Val: 0.7240| Test: 0.7530| Eval Time: 0.2200s
Epoch 03| Loss: 1.0244| Acc: 0.8643| Train Time: 0.2300s
Train: 0.9714| Val: 0.7440| Test: 0.7740| Eval Time: 0.2321s
Epoch 04| Loss: 0.8101| Acc: 0.9000| Train Time: 0.1981s
Train: 0.9929| Val: 0.7420| Test: 0.7730| Eval Time: 0.2151s
Epoch 05| Loss: 0.7072| Acc: 0.9143| Train Time: 0.1896s
Train: 0.9929| Val: 0.7460| Test: 0.7790| Eval Time: 0.2211s
Epoch 06| Loss: 0.4903| Acc: 0.9714| Train Time: 0.1920s
Train: 1.0000| Val: 0.7560| Test: 0.7780| Eval Time: 0.2250s
Epoch 07| Loss: 0.4108| Acc: 0.9786| Train Time: 0.1951s
Train: 1.0000| Val: 0.7520| Test: 0.7800| Eval Time: 0.2551s
Epoch 08| Loss: 0.3526| Acc: 0.9857| Train Time: 0.2390s
Train: 1.0000| Val: 0.7500| Test: 0.7830| Eval Time: 0.2300s
Epoch 09| Loss: 0.2963| Acc: 0.9857| Train Time: 0.2170s
Train: 1.0000| Val: 0.7500| Test: 0.7830| Eval Time: 0.2690s
Epoch 10| Loss: 0.2677| Acc: 0.9929| Train Time: 0.2120s
Train: 1.0000| Val: 0.7500| Test: 0.7860| Eval Time: 0.2282s
Epoch 11| Loss: 0.2189| Acc: 0.9857| Train Time: 0.2141s
Train: 1.0000| Val: 0.7480| Test: 0.7800| Eval Time: 0.2550s
Epoch 12| Loss: 0.1433| Acc: 1.0000| Train Time: 0.2040s
Train: 1.0000| Val: 0.7460| Test: 0.7770| Eval Time: 0.2200s
Epoch 13| Loss: 0.1539| Acc: 1.0000| Train Time: 0.1860s
Train: 1.0000| Val: 0.7460| Test: 0.7770| Eval Time: 0.2086s
Epoch 14| Loss: 0.0814| Acc: 1.0000| Train Time: 0.1962s
Train: 1.0000| Val: 0.7460| Test: 0.7790| Eval Time: 0.2309s
Epoch 15| Loss: 0.0834| Acc: 1.0000| Train Time: 0.2246s
Train: 1.0000| Val: 0.7500| Test: 0.7770| Eval Time: 0.2100s
Epoch 16| Loss: 0.0609| Acc: 1.0000| Train Time: 0.2240s
Train: 1.0000| Val: 0.7520| Test: 0.7750| Eval Time: 0.2486s
Epoch 17| Loss: 0.1013| Acc: 0.9929| Train Time: 0.1891s
Train: 1.0000| Val: 0.7520| Test: 0.7760| Eval Time: 0.2290s
Epoch 18| Loss: 0.0699| Acc: 1.0000| Train Time: 0.1950s
Train: 1.0000| Val: 0.7460| Test: 0.7690| Eval Time: 0.1930s
Epoch 19| Loss: 0.0671| Acc: 0.9929| Train Time: 0.2477s
Train: 1.0000| Val: 0.7500| Test: 0.7680| Eval Time: 0.2036s
Epoch 20| Loss: 0.0340| Acc: 1.0000| Train Time: 0.2320s
Train: 1.0000| Val: 0.7500| Test: 0.7670| Eval Time: 0.2216s
Epoch 21| Loss: 0.0323| Acc: 1.0000| Train Time: 0.1676s
Train: 1.0000| Val: 0.7540| Test: 0.7670| Eval Time: 0.2060s
Epoch 22| Loss: 0.0452| Acc: 0.9929| Train Time: 0.2020s
Train: 1.0000| Val: 0.7540| Test: 0.7710| Eval Time: 0.1966s
Epoch 23| Loss: 0.0260| Acc: 1.0000| Train Time: 0.1880s
Train: 1.0000| Val: 0.7540| Test: 0.7770| Eval Time: 0.2207s
Epoch 24| Loss: 0.0158| Acc: 1.0000| Train Time: 0.1831s
Train: 1.0000| Val: 0.7560| Test: 0.7820| Eval Time: 0.2030s
Epoch 25| Loss: 0.0213| Acc: 1.0000| Train Time: 0.1760s
Train: 1.0000| Val: 0.7540| Test: 0.7830| Eval Time: 0.2040s
Epoch 26| Loss: 0.0268| Acc: 1.0000| Train Time: 0.1870s
Train: 1.0000| Val: 0.7540| Test: 0.7860| Eval Time: 0.1905s
Epoch 27| Loss: 0.0269| Acc: 1.0000| Train Time: 0.1890s
Train: 1.0000| Val: 0.7540| Test: 0.7870| Eval Time: 0.2100s
Epoch 28| Loss: 0.0119| Acc: 1.0000| Train Time: 0.1710s
Train: 1.0000| Val: 0.7540| Test: 0.7880| Eval Time: 0.2045s
Epoch 29| Loss: 0.0215| Acc: 1.0000| Train Time: 0.1825s
Train: 1.0000| Val: 0.7540| Test: 0.7880| Eval Time: 0.2066s
Epoch 30| Loss: 0.0159| Acc: 1.0000| Train Time: 0.2110s
Train: 1.0000| Val: 0.7500| Test: 0.7880| Eval Time: 0.2410s
Epoch 31| Loss: 0.0168| Acc: 1.0000| Train Time: 0.2637s
Train: 1.0000| Val: 0.7500| Test: 0.7920| Eval Time: 0.2090s
Epoch 32| Loss: 0.0115| Acc: 1.0000| Train Time: 0.2060s
Train: 1.0000| Val: 0.7500| Test: 0.7930| Eval Time: 0.1897s
Epoch 33| Loss: 0.0109| Acc: 1.0000| Train Time: 0.2627s
Train: 1.0000| Val: 0.7500| Test: 0.7940| Eval Time: 0.1900s
Epoch 34| Loss: 0.0089| Acc: 1.0000| Train Time: 0.2295s
Train: 1.0000| Val: 0.7480| Test: 0.7940| Eval Time: 0.2016s
Epoch 35| Loss: 0.0049| Acc: 1.0000| Train Time: 0.2390s
Train: 1.0000| Val: 0.7480| Test: 0.7930| Eval Time: 0.2070s
Epoch 36| Loss: 0.0087| Acc: 1.0000| Train Time: 0.1998s
Train: 1.0000| Val: 0.7480| Test: 0.7930| Eval Time: 0.2326s
Epoch 37| Loss: 0.0042| Acc: 1.0000| Train Time: 0.2020s
Train: 1.0000| Val: 0.7480| Test: 0.7930| Eval Time: 0.2521s
Epoch 38| Loss: 0.0085| Acc: 1.0000| Train Time: 0.1970s
Train: 1.0000| Val: 0.7480| Test: 0.7930| Eval Time: 0.2180s
Epoch 39| Loss: 0.0114| Acc: 1.0000| Train Time: 0.2220s
Train: 1.0000| Val: 0.7480| Test: 0.7930| Eval Time: 0.2309s
Epoch 40| Loss: 0.0071| Acc: 1.0000| Train Time: 0.2021s
Train: 1.0000| Val: 0.7480| Test: 0.7950| Eval Time: 0.2615s
Epoch 41| Loss: 0.0064| Acc: 1.0000| Train Time: 0.2390s
Train: 1.0000| Val: 0.7480| Test: 0.7950| Eval Time: 0.2385s
Epoch 42| Loss: 0.0072| Acc: 1.0000| Train Time: 0.2850s
Train: 1.0000| Val: 0.7480| Test: 0.7950| Eval Time: 0.3310s
Epoch 43| Loss: 0.0067| Acc: 1.0000| Train Time: 0.3061s
Train: 1.0000| Val: 0.7500| Test: 0.7950| Eval Time: 0.3239s
Epoch 44| Loss: 0.0044| Acc: 1.0000| Train Time: 0.2950s
Train: 1.0000| Val: 0.7500| Test: 0.7970| Eval Time: 0.3466s
Epoch 45| Loss: 0.0080| Acc: 1.0000| Train Time: 0.3477s
Train: 1.0000| Val: 0.7500| Test: 0.7970| Eval Time: 0.3525s
Epoch 46| Loss: 0.0038| Acc: 1.0000| Train Time: 0.3040s
Train: 1.0000| Val: 0.7500| Test: 0.7960| Eval Time: 0.2908s
Epoch 47| Loss: 0.0068| Acc: 1.0000| Train Time: 0.2956s
Train: 1.0000| Val: 0.7500| Test: 0.7950| Eval Time: 0.2911s
Epoch 48| Loss: 0.0024| Acc: 1.0000| Train Time: 0.2609s
Train: 1.0000| Val: 0.7460| Test: 0.7940| Eval Time: 0.2670s
Epoch 49| Loss: 0.0064| Acc: 1.0000| Train Time: 0.3000s
Train: 1.0000| Val: 0.7480| Test: 0.7930| Eval Time: 0.3330s
Epoch 50| Loss: 0.0119| Acc: 1.0000| Train Time: 0.2940s
