{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CORA: 'Cora'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': False,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: True
Used Dataset: Cora

Run 01:

Epoch 01| Loss: 1.9248| Acc: 0.1571| Train Time: 0.5185s
Train: 0.8357| Val: 0.5260| Test: 0.5100| Eval Time: 3.2967s
Epoch 02| Loss: 1.4863| Acc: 0.6857| Train Time: 0.6930s
Train: 0.9571| Val: 0.6560| Test: 0.6560| Eval Time: 0.0580s
Epoch 03| Loss: 1.1207| Acc: 0.8286| Train Time: 0.7130s
Train: 0.9786| Val: 0.7060| Test: 0.7170| Eval Time: 0.0690s
Epoch 04| Loss: 0.8595| Acc: 0.9286| Train Time: 0.0150s
Train: 0.9929| Val: 0.7340| Test: 0.7480| Eval Time: 0.0740s
Epoch 05| Loss: 0.6870| Acc: 0.9429| Train Time: 0.0130s
Train: 0.9929| Val: 0.7400| Test: 0.7620| Eval Time: 0.0816s
Epoch 06| Loss: 0.5357| Acc: 0.9571| Train Time: 0.0130s
Train: 0.9929| Val: 0.7560| Test: 0.7720| Eval Time: 0.0790s
Epoch 07| Loss: 0.4656| Acc: 0.9786| Train Time: 0.0110s
Train: 1.0000| Val: 0.7540| Test: 0.7840| Eval Time: 0.0780s
Epoch 08| Loss: 0.3762| Acc: 0.9643| Train Time: 0.0130s
Train: 1.0000| Val: 0.7520| Test: 0.7800| Eval Time: 0.0740s
Epoch 09| Loss: 0.2516| Acc: 0.9929| Train Time: 0.0140s
Train: 1.0000| Val: 0.7500| Test: 0.7760| Eval Time: 0.0850s
Epoch 10| Loss: 0.2222| Acc: 0.9786| Train Time: 0.0120s
Train: 1.0000| Val: 0.7500| Test: 0.7800| Eval Time: 0.0740s
Epoch 11| Loss: 0.1796| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.7480| Test: 0.7810| Eval Time: 0.0800s
Epoch 12| Loss: 0.1440| Acc: 1.0000| Train Time: 0.0100s
Train: 1.0000| Val: 0.7520| Test: 0.7800| Eval Time: 0.0780s
Epoch 13| Loss: 0.1119| Acc: 1.0000| Train Time: 0.0140s
Train: 1.0000| Val: 0.7500| Test: 0.7770| Eval Time: 0.0850s
Epoch 14| Loss: 0.0789| Acc: 1.0000| Train Time: 0.0130s
Train: 1.0000| Val: 0.7520| Test: 0.7760| Eval Time: 0.0740s
Epoch 15| Loss: 0.0804| Acc: 0.9929| Train Time: 0.0090s
Train: 1.0000| Val: 0.7460| Test: 0.7760| Eval Time: 0.0780s
Epoch 16| Loss: 0.0815| Acc: 1.0000| Train Time: 0.0110s
Train: 1.0000| Val: 0.7440| Test: 0.7710| Eval Time: 0.0830s
Epoch 17| Loss: 0.0620| Acc: 1.0000| Train Time: 0.0110s
Train: 1.0000| Val: 0.7440| Test: 0.7720| Eval Time: 0.0760s
Epoch 18| Loss: 0.0545| Acc: 0.9929| Train Time: 0.0140s
Train: 1.0000| Val: 0.7440| Test: 0.7710| Eval Time: 0.0710s
Epoch 19| Loss: 0.0316| Acc: 1.0000| Train Time: 0.0140s
Train: 1.0000| Val: 0.7440| Test: 0.7720| Eval Time: 0.0870s
Epoch 20| Loss: 0.0557| Acc: 1.0000| Train Time: 0.0130s
Train: 1.0000| Val: 0.7460| Test: 0.7700| Eval Time: 0.0831s
Epoch 21| Loss: 0.0217| Acc: 1.0000| Train Time: 0.0150s
Train: 1.0000| Val: 0.7440| Test: 0.7700| Eval Time: 0.0810s
Epoch 22| Loss: 0.0387| Acc: 1.0000| Train Time: 0.0140s
Train: 1.0000| Val: 0.7440| Test: 0.7700| Eval Time: 0.0740s
Epoch 23| Loss: 0.0224| Acc: 1.0000| Train Time: 0.0100s
Train: 1.0000| Val: 0.7440| Test: 0.7700| Eval Time: 0.0720s
Epoch 24| Loss: 0.0401| Acc: 1.0000| Train Time: 0.0090s
Train: 1.0000| Val: 0.7440| Test: 0.7690| Eval Time: 0.0760s
Epoch 25| Loss: 0.0105| Acc: 1.0000| Train Time: 0.0110s
