{   'adj_mode': <AdjacencyMode.OneStep: 'OneStep'>,
    'batch_size': 256,
    'console_log_freq': 1,
    'dataset_name': <Dataset.CITESEER: 'CiteSeer'>,
    'do_train_tqdm_logging': False,
    'dropout': 0.6,
    'force_cpu': False,
    'hidden_size': 128,
    'lr': 0.005,
    'model_type': <ModelType.GATV1: 'GAT-V1'>,
    'nbor_degree': 1,
    'num_heads': 1,
    'num_of_epochs': 500,
    'num_of_layers': 2,
    'num_of_runs': 10,
    'num_workers': 0,
    'patience_period': 50,
    'sparse': True,
    'test_batch_size': 256,
    'test_frequency': 1,
    'use_batch_norm': False,
    'use_layer_norm': False}

torch.cuda is available: False
Used Dataset: CiteSeer

Run 01 for GatV1_K1_s and CiteSeer:

Epoch 01| Loss: 1.8413| Acc: 0.1250| Train Time: 0.3033s
Train: 0.8250| Val: 0.4720| Test: 0.4810| Eval Time: 0.4894s
Epoch 02| Loss: 1.2613| Acc: 0.7083| Train Time: 0.1171s
Train: 0.9333| Val: 0.6720| Test: 0.6390| Eval Time: 0.4464s
Epoch 03| Loss: 0.9080| Acc: 0.8083| Train Time: 0.1031s
Train: 0.9750| Val: 0.7040| Test: 0.6910| Eval Time: 0.4624s
Epoch 04| Loss: 0.6596| Acc: 0.9500| Train Time: 0.1031s
Train: 0.9833| Val: 0.6920| Test: 0.6810| Eval Time: 0.4514s
Epoch 05| Loss: 0.4238| Acc: 0.9667| Train Time: 0.0981s
Train: 0.9833| Val: 0.6840| Test: 0.6850| Eval Time: 0.4589s
Epoch 06| Loss: 0.3565| Acc: 0.9750| Train Time: 0.1041s
Train: 0.9833| Val: 0.6740| Test: 0.6790| Eval Time: 0.4604s
Epoch 07| Loss: 0.2833| Acc: 0.9833| Train Time: 0.0981s
Train: 0.9917| Val: 0.6740| Test: 0.6810| Eval Time: 0.4144s
Epoch 08| Loss: 0.2221| Acc: 0.9917| Train Time: 0.1141s
Train: 1.0000| Val: 0.6580| Test: 0.6780| Eval Time: 0.4404s
Epoch 09| Loss: 0.1440| Acc: 0.9917| Train Time: 0.0961s
Train: 1.0000| Val: 0.6580| Test: 0.6800| Eval Time: 0.4158s
Epoch 10| Loss: 0.2249| Acc: 0.9833| Train Time: 0.1477s
Train: 1.0000| Val: 0.6500| Test: 0.6730| Eval Time: 0.4204s
Epoch 11| Loss: 0.1055| Acc: 0.9917| Train Time: 0.0981s
Train: 1.0000| Val: 0.6500| Test: 0.6760| Eval Time: 0.4144s
Epoch 12| Loss: 0.0679| Acc: 0.9917| Train Time: 0.0951s
Train: 1.0000| Val: 0.6540| Test: 0.6760| Eval Time: 0.4564s
Epoch 13| Loss: 0.1947| Acc: 0.9917| Train Time: 0.0891s
Train: 1.0000| Val: 0.6540| Test: 0.6740| Eval Time: 0.4774s
Epoch 14| Loss: 0.0444| Acc: 1.0000| Train Time: 0.1031s
Train: 1.0000| Val: 0.6580| Test: 0.6740| Eval Time: 0.4209s
Epoch 15| Loss: 0.0427| Acc: 1.0000| Train Time: 0.1101s
Train: 1.0000| Val: 0.6640| Test: 0.6760| Eval Time: 0.4644s
Epoch 16| Loss: 0.0364| Acc: 1.0000| Train Time: 0.0931s
Train: 1.0000| Val: 0.6680| Test: 0.6800| Eval Time: 0.4224s
Epoch 17| Loss: 0.0255| Acc: 1.0000| Train Time: 0.0911s
Train: 1.0000| Val: 0.6720| Test: 0.6790| Eval Time: 0.4875s
Epoch 18| Loss: 0.0164| Acc: 1.0000| Train Time: 0.1021s
Train: 1.0000| Val: 0.6720| Test: 0.6810| Eval Time: 0.4109s
Epoch 19| Loss: 0.0209| Acc: 1.0000| Train Time: 0.0911s
Train: 1.0000| Val: 0.6680| Test: 0.6820| Eval Time: 0.4664s
Epoch 20| Loss: 0.0158| Acc: 1.0000| Train Time: 0.1001s
Train: 1.0000| Val: 0.6720| Test: 0.6790| Eval Time: 0.4034s
Epoch 21| Loss: 0.0157| Acc: 0.9917| Train Time: 0.1311s
Train: 1.0000| Val: 0.6740| Test: 0.6790| Eval Time: 0.4319s
Epoch 22| Loss: 0.0079| Acc: 1.0000| Train Time: 0.0981s
Train: 1.0000| Val: 0.6760| Test: 0.6800| Eval Time: 0.4004s
Epoch 23| Loss: 0.0091| Acc: 1.0000| Train Time: 0.1161s
Train: 1.0000| Val: 0.6760| Test: 0.6800| Eval Time: 0.4239s
Epoch 24| Loss: 0.0079| Acc: 1.0000| Train Time: 0.0971s
Train: 1.0000| Val: 0.6760| Test: 0.6780| Eval Time: 0.3904s
Epoch 25| Loss: 0.0667| Acc: 0.9917| Train Time: 0.1361s
Train: 1.0000| Val: 0.6740| Test: 0.6780| Eval Time: 0.4234s
Epoch 26| Loss: 0.0087| Acc: 1.0000| Train Time: 0.1001s
Train: 1.0000| Val: 0.6760| Test: 0.6780| Eval Time: 0.3964s
Epoch 27| Loss: 0.0048| Acc: 1.0000| Train Time: 0.1302s
Train: 1.0000| Val: 0.6780| Test: 0.6750| Eval Time: 0.4274s
Epoch 28| Loss: 0.0051| Acc: 1.0000| Train Time: 0.1021s
Train: 1.0000| Val: 0.6760| Test: 0.6740| Eval Time: 0.4604s
Epoch 29| Loss: 0.0035| Acc: 1.0000| Train Time: 0.0971s
Train: 1.0000| Val: 0.6740| Test: 0.6710| Eval Time: 0.4394s
Epoch 30| Loss: 0.0027| Acc: 1.0000| Train Time: 0.0971s
Train: 1.0000| Val: 0.6720| Test: 0.6700| Eval Time: 0.4604s
Epoch 31| Loss: 0.0073| Acc: 1.0000| Train Time: 0.1001s
Train: 1.0000| Val: 0.6760| Test: 0.6690| Eval Time: 0.4349s
Epoch 32| Loss: 0.0028| Acc: 1.0000| Train Time: 0.0931s
Train: 1.0000| Val: 0.6800| Test: 0.6690| Eval Time: 0.4690s
Epoch 33| Loss: 0.0041| Acc: 1.0000| Train Time: 0.1111s
Train: 1.0000| Val: 0.6800| Test: 0.6670| Eval Time: 0.4104s
Epoch 34| Loss: 0.0034| Acc: 1.0000| Train Time: 0.1321s
Train: 1.0000| Val: 0.6780| Test: 0.6690| Eval Time: 0.4575s
Epoch 35| Loss: 0.0029| Acc: 1.0000| Train Time: 0.1021s
Train: 1.0000| Val: 0.6780| Test: 0.6700| Eval Time: 0.4194s
Epoch 36| Loss: 0.0021| Acc: 1.0000| Train Time: 0.1551s
Train: 1.0000| Val: 0.6760| Test: 0.6690| Eval Time: 0.4634s
Epoch 37| Loss: 0.0017| Acc: 1.0000| Train Time: 0.1081s
Train: 1.0000| Val: 0.6760| Test: 0.6680| Eval Time: 0.4674s
Epoch 38| Loss: 0.0029| Acc: 1.0000| Train Time: 0.0901s
Train: 1.0000| Val: 0.6740| Test: 0.6690| Eval Time: 0.4264s
Epoch 39| Loss: 0.0038| Acc: 1.0000| Train Time: 0.0981s
Train: 1.0000| Val: 0.6700| Test: 0.6690| Eval Time: 0.4704s
Epoch 40| Loss: 0.0034| Acc: 1.0000| Train Time: 0.1206s
Train: 1.0000| Val: 0.6720| Test: 0.6690| Eval Time: 0.4384s
Epoch 41| Loss: 0.0017| Acc: 1.0000| Train Time: 0.0961s
Train: 1.0000| Val: 0.6720| Test: 0.6700| Eval Time: 0.4674s
Epoch 42| Loss: 0.0039| Acc: 1.0000| Train Time: 0.0961s
Train: 1.0000| Val: 0.6680| Test: 0.6700| Eval Time: 0.4320s
Epoch 43| Loss: 0.0009| Acc: 1.0000| Train Time: 0.1021s
Train: 1.0000| Val: 0.6680| Test: 0.6700| Eval Time: 0.4654s
Epoch 44| Loss: 0.0131| Acc: 0.9917| Train Time: 0.1011s
Train: 1.0000| Val: 0.6680| Test: 0.6690| Eval Time: 0.4234s
Epoch 45| Loss: 0.0324| Acc: 0.9917| Train Time: 0.1031s
Train: 1.0000| Val: 0.6700| Test: 0.6720| Eval Time: 0.4819s
Epoch 46| Loss: 0.0020| Acc: 1.0000| Train Time: 0.0961s
Train: 1.0000| Val: 0.6740| Test: 0.6720| Eval Time: 0.4534s
Epoch 47| Loss: 0.0012| Acc: 1.0000| Train Time: 0.1076s
Train: 1.0000| Val: 0.6760| Test: 0.6740| Eval Time: 0.4204s
Epoch 48| Loss: 0.0162| Acc: 0.9917| Train Time: 0.1141s
Train: 1.0000| Val: 0.6740| Test: 0.6730| Eval Time: 0.4514s
